Sample,Site ,Transect,Zn_66,Zn_68,As_75,As_91,Se_78,Se_82,Pb_206,Pb_207,Pb_208,U_238,Tl_204
TR132,Tramway Ridge,TR1,74.481,79.655,8.309,6.24,2.995,5.03,30.97,27.691,30.023,5.152,0.106
TR142,Tramway Ridge,TR1,36.329,49.149,16.553,3.64,13.879,25.213,26.884,23.971,26.1,14.628,0.238
TR152,Tramway Ridge,TR1,54.026,69.679,14.091,4.05,11.225,20.369,32.603,29.116,31.642,11.502,0.273
TR162,Tramway Ridge,TR1,55.024,66.828,11.455,1.41,10.566,19.94,33.273,29.736,32.49,12.119,0.17
TR224,Tramway Ridge,TR2,85.937,90.237,5.35,4.236,2.393,4.832,15.403,13.697,14.385,5.485,0.169
TR234,Tramway Ridge,TR2,113.999,114.749,5.071,3.139,2.45,4.508,15.377,13.743,14.431,6.611,0.202
TR244,Tramway Ridge,TR2,48.533,58.073,9.674,2.122,8.152,14.874,11.55,10.344,10.855,11.735,0.091
TR264,Tramway Ridge,TR2,121.961,123.976,11.163,9.132,3.838,6.199,55.925,49.926,54.064,8.782,0.123
WC10,Western Crater,WC,65.978,72.283,8.565,1.72,7.336,12.512,8.898,7.977,8.356,10.216,0.065
WC20,Western Crater,WC,58.086,63.533,8.351,1.793,6.824,11.625,7.335,6.582,6.889,9.127,0.045
WC30,Western Crater,WC,52.473,57.924,6.944,1.599,5.893,10.141,7.46,6.668,6.999,8.062,0.074
WC35,Western Crater,WC,46.432,55.681,10.044,1.926,8.188,15.171,12.116,10.791,11.342,11.616,0.099
WC40,Western Crater,WC,45.918,54.086,10.983,2.661,9.128,15.803,10.677,9.579,10.024,11.193,0.072
WC50,Western Crater,WC,121.98,121.815,7.416,5.481,2.774,4.497,40.238,35.97,39.11,7.464,0.08
